category,rating,label,text_,user_id,date,translated_text
Electronics_5,5.0,0,"I've replaced all my other fountain filters and the reservoir is still full. This is the only one I've seen that seems to work, and it is the only one I've used that does not leak. It's not clear how it will hold up if I use it on my cats, but it's pretty good.",7334,2022-09-12,"Diğer tüm çeşme filtrelerimi değiştirdim ve rezervuar hala dolu. İşe yarayan tek kişi bu ve sızdırmayan tek kişi bu. Kedilerimde kullanırsam nasıl dayanacağı belli değil, ama oldukça iyi."
Electronics_5,5.0,0,"LT&T did not disappoint.  We have the characters we love in this book, and the way the author is able to make them fit into the story.  I think this is one of the best books I have read in a long",8490,2022-12-11,LT&T hayal kırıklığına uğratmadı.  Bu kitapta sevdiğimiz karakterler ve yazarın onları hikayeye uydurabilme şeklimiz var.  Sanırım bu uzun süredir okuduğum en iyi kitaplardan biri
Electronics_5,5.0,0,Both of my dogs (full grown) love the taste. I will keep this for the next couple of months. Great price! I will definitely order again!I bought this for my puppy's tank.  It is a good size for,3007,2022-04-29,Her iki köpeklerim de (tam yetişkin) tadı seviyor. Bunu önümüzdeki birkaç ay boyunca tutacağım. Harika bir fiyat! Kesinlikle tekrar sipariş vereceğim! Bunu yavru köpeğimin tankı için aldım.  İçin iyi bir boyut
Electronics_5,5.0,0,"First time user, glue last time. The only reason I gave it 4 stars is because I'm a self-proclaimed",11583,2022-07-08,"İlk kez kullanıcı, geçen sefer yapıştırın. 4 yıldız vermemin tek nedeni, kendi kendini ilan ettiğim için"
Electronics_5,5.0,0,"Klein is second to none.  The quality and quality of Klein products is exceptional.  Klein products are so affordable that I am not surprised that they have gone through so much research and testing to determine the quality of their products.  If you are looking for an excellent product, Klein products are a must.

I did not purchase the Klein products on Amazon for the quality of the product",2324,2022-05-23,"Klein hiçbiri ikinci değil.  Klein ürünlerinin kalitesi ve kalitesi olağanüstü.  Klein ürünleri o kadar uygun fiyatlı ki, ürünlerinin kalitesini belirlemek için çok fazla araştırma ve test yaptıklarına şaşırmadım.  Mükemmel bir ürün arıyorsanız, Klein ürünleri bir zorunluluktur.

Ürünün kalitesi için Amazon'da Klein ürünlerini satın almadım"
Electronics_5,4.0,0,"Perfect, would be nice if it had more pockets.Very good quality.Nice bag.Very pretty.I bought this for my son, he loves it!",3493,2022-05-20,"Mükemmel, daha fazla cepleri olsaydı güzel olurdu. Çok kaliteli."
Electronics_5,3.0,0,"It works but I have had it for a long time.

The only reason I don't give it 5 stars is the design. ",8411,2022-03-01,"Çalışıyor ama uzun zamandır aldım.

5 yıldız vermememin tek nedeni tasarım."
Electronics_5,5.0,0,"I saw the Director's Cut and thought I would like it too.  Well, I did and am glad I did.  I am a huge fan of Treme and it is a great movie.  It is a good film to watch once.I really enjoy this show.  I love it.  I love the way it shows the different ways people are different from each other",815,2022-12-12,Yönetmenin kesimini gördüm ve ben de hoşuna gideceğimi düşündüm.  Yaptım ve yaptığım için mutluyum.  Ben Treme'nin büyük bir hayranıyım ve harika bir film.  Bir kez izlemek için iyi bir film. Bu şovdan gerçekten keyif alıyorum.  Bayıldım.  İnsanların birbirinden farklı olduklarını gösterme şeklini seviyorum
Electronics_5,5.0,0,"Did about a full week, it was still very comfortable.

The only reason I gave it four stars is that it's a bit small, but if you're a lot smaller than that, it's not really a problem. If you're going to use it for a lot of things, it's a good size for them.

I'm very happy with this purchase. I just wish there was a way to go by the size of the cord when opening the bag, it's a little too small for my small hands. I'm not sure how long it would hold up to it's use. I haven't used it at all. I'm not sure how long it would hold up to the use of my large hands. I don't know if I'll be able to find a way to fit it in my bag. I haven't tried it. I'm really happy with this purchase.I have two of these. One is a little smaller than I expected, and the other is bigger.

I'm very happy with the product. I would highly recommend this product.Great, very strong, and I like that it holds a lot of items.  I have a ton of things to keep on hand and it is a little big for my needs.  It will hold a lot of stuff and is well made.  I bought it for my mom, who is very allergic",8784,2022-09-05,"Tam bir hafta yaptı, hala çok rahattı.

Dört yıldız vermemin tek nedeni biraz küçük olması, ancak bundan çok daha küçükseniz, bu gerçekten bir sorun değil. Bir çok şey için kullanacaksanız, onlar için iyi bir boyut.

Bu satın alma işleminden çok memnunum. Keşke çantayı açarken kordonun boyutuna gidecek bir yol olsaydı, küçük ellerim için biraz fazla küçük. Ne kadar süre dayanacağından emin değilim. Hiç kullanmadım. Büyük ellerimin kullanımını ne kadar tutacağından emin değilim. Çantama sığmanın bir yolunu bulup bulamayacağımı bilmiyorum. Denemedim. Bu satın alımdan gerçekten çok memnunum. Bunlardan ikisi var. Biri beklediğimden biraz daha küçük, diğeri daha büyük.

Üründen çok memnunum. Bu ürünü şiddetle tavsiye ederim. Büyük, çok güçlü ve çok fazla öğe tutmasını seviyorum.  Elimde tutmam gereken bir ton şey var ve ihtiyaçlarım için biraz büyük.  Çok fazla şey tutacak ve iyi yapılmış.  Çok alerjisi olan annem için aldım"
Electronics_5,5.0,0,"As a former Marine I know what I want to do.

The only reason I ordered this is because I had a bad run.  My running shoes are so great and I have to wear them all the time.  I was thinking about going with this as it would be a little more comfortable.

I did get a free item for review.

I will update if I find a better solution to the issue.  It may take a while to figure out how it works out, but I'm sure it will be a very helpful tool.",4664,2022-08-23,"Eski bir deniz olarak ne yapmak istediğimi biliyorum.

Bunu sipariş etmemin tek nedeni kötü bir koşum vardı.  Koşu ayakkabılarım çok harika ve onları her zaman giymem gerekiyor.  Biraz daha rahat olacağı için bununla gitmeyi düşünüyordum.

İnceleme için ücretsiz bir ürün aldım.

Soruna daha iyi bir çözüm bulursam güncelleyeceğim.  Nasıl çalıştığını anlamak biraz zaman alabilir, ancak eminim çok yararlı bir araç olacaktır."
